iter	Passed	Remaining
0	59	58973
1	59	29661
2	59	19872
3	60	14982
4	60	12045
5	60	10081
6	61	8685
7	61	7633
8	61	6818
9	62	6166
10	62	5643
11	63	5207
12	63	4832
13	64	4511
14	64	4231
15	64	3985
16	65	3768
17	65	3577
18	65	3405
19	66	3248
20	66	3106
21	66	2976
22	67	2858
23	67	2750
24	68	2654
25	68	2563
26	68	2477
27	69	2398
28	69	2324
29	69	2256
30	70	2191
31	70	2132
32	70	2075
33	71	2021
34	71	1971
35	71	1924
36	72	1880
37	72	1837
38	73	1799
39	73	1761
40	73	1725
41	74	1689
42	74	1657
43	74	1625
44	75	1595
45	75	1566
46	75	1538
47	76	1511
48	76	1485
49	76	1462
50	77	1437
51	77	1415
52	77	1393
53	78	1373
54	78	1352
55	79	1332
56	79	1314
57	79	1298
58	80	1281
59	80	1263
60	81	1247
61	81	1231
62	81	1215
63	82	1200
64	82	1185
65	82	1171
66	83	1157
67	83	1143
68	83	1130
69	84	1117
70	84	1105
71	84	1093
72	85	1081
73	85	1070
74	85	1059
75	86	1048
76	86	1037
77	86	1027
78	87	1017
79	87	1008
80	88	998
81	88	989
82	88	977
83	88	969
84	89	960
85	89	951
86	89	943
87	90	934
88	90	926
89	90	919
90	91	911
91	91	903
92	91	896
93	92	889
94	92	882
95	93	875
96	93	869
97	93	863
98	94	856
99	94	850
100	94	844
101	95	838
102	95	833
103	96	827
104	96	821
105	96	815
106	97	809
107	97	804
108	97	798
109	98	793
110	98	787
111	98	782
112	98	776
113	99	771
114	99	766
115	99	761
116	100	755
117	100	751
118	100	746
119	101	742
120	101	737
121	101	732
122	102	728
123	102	724
124	102	720
125	103	716
126	103	711
127	103	707
128	104	703
129	104	699
130	104	695
131	105	691
132	105	687
133	105	684
134	106	680
135	106	677
136	106	673
137	107	669
138	107	666
139	107	663
140	108	660
141	108	656
142	109	654
143	109	650
144	109	648
145	110	644
146	110	641
147	110	638
148	111	635
149	111	632
150	111	629
151	112	626
152	112	622
153	112	619
154	113	616
155	113	613
156	113	610
157	114	607
158	114	605
159	114	602
160	114	598
161	115	595
162	115	593
163	115	590
164	116	588
165	116	585
166	116	583
167	117	581
168	117	578
169	118	576
170	118	573
171	118	571
